#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
724,"<a href=""https://hockey-graphs.com/2020/05/14/introducing-nwhle-and-translation-factors/""> Introducing NWHLe and Translation Factors </a>",https://hockey-graphs.com/2020/05/14/introducing-nwhle-and-translation-factors/,Introducing NWHLe and Translation Factors,Mike Murphy,2020,,"NWHL/PHF,NHLe,Translation Factors",,,
725,"<a href=""https://drive.google.com/file/d/1yCaZVsEgWZTtQM_cAQkTAOugHmS3w_RB/view"">WHKYe.csv (EliteProspects Data) </a>",https://drive.google.com/file/d/1yCaZVsEgWZTtQM_cAQkTAOugHmS3w_RB/view,WHKYe.csv (EliteProspects Data),Mikael Nahabedian,2021,,"NWHL/PHF,CWHL,NCAA,Women's Hockey,SDHL,World Championships, World Junior Championships, ACAC, U Sports, QCHL, CAHS, JWHL, PWHL, USHS, NCAA DIII, NCAA DI, NCAA DII, Stålbucklan, U18, SM-sarja, Mestis, Suomi Sarja",,,
726,"<a href=""https://creasegiants.wixsite.com/index/greatest-goalies-whcky-history"" target=""_blank"">25 Greatest Goalies Of Women's Hockey History</a>",https://creasegiants.wixsite.com/index/greatest-goalies-whcky-history,25 Greatest Goalies Of Women's Hockey History,Giants In The Crease,2017,,"Goalies / Goaltending, Women's Hockey,",,,
727,"<a href=""https://creasegiants.wixsite.com/index/cwhl"" target=""_blank"">CWHL Stats</a>",https://creasegiants.wixsite.com/index/cwhl,CWHL Stats,Giants In The Crease,2019,,"Goalies / Goaltending, CWHL, Women's Hockey, Counting Stats,",,,
728,"<a href=""https://creasegiants.wixsite.com/index/nwhl"" target=""_blank"">NWHL Stats</a>",https://creasegiants.wixsite.com/index/nwhl,NWHL Stats,Giants In The Crease,2021,,"Goalies / Goaltending, NWHL, Women's Hockey, Counting Stats,",,,
729,"<a href=""https://creasegiants.wixsite.com/index/sdhl-goalie-stats"" target=""_blank"">SDHL Stats</a>",https://creasegiants.wixsite.com/index/sdhl-goalie-stats,SDHL Stats,Giants In The Crease,2021,,"Goalies / Goaltending, SDHL, Women's Hockey, Counting Stats,",,,
730,"<a href=""https://docs.google.com/spreadsheets/d/14YBRo_Z00DsZJT31HZGTvGywEWL3Vyk_C0JwJWZ3m9A/edit?usp=sharing"" target=""_blank"">History of CWHL Regular Season Goalie Stats</a>",https://docs.google.com/spreadsheets/d/14YBRo_Z00DsZJT31HZGTvGywEWL3Vyk_C0JwJWZ3m9A/edit?usp=sharing,History of CWHL Regular Season Goalie Stats,Giants In The Crease,2018,,"Goalies / Goaltending, CWHL, Women's Hockey, Counting Stats,",,,
731,"<a href=""https://hockey-graphs.com/2018/02/10/womens-olympic-hockey-predictions/"" target=""_blank"">Women's Olympic Hockey Predictions</a>",https://hockey-graphs.com/2018/02/10/womens-olympic-hockey-predictions/,Women's Olympic Hockey Predictions,Matt Cane,2018,,"Olympics,Women's Hockey,Prediction,Model(s),Mixed Effects Models",,,
732,"<a href=""https://github.com/TK5-Tim/Big-Data-Cup/blob/master/Tim_Keller-BigDataCup2021-zone_entries.pdf"" target=""_blank"">Projecting Win Probability in Women’s Hockey</a>",https://github.com/TK5-Tim/Big-Data-Cup/blob/master/Tim_Keller-BigDataCup2021-zone_entries.pdf,Projecting Win Probability in Women’s Hockey,Tim Keller,,,"Women's Hockey, Zone Entries,Big Data Cup",,,
733,"<a href=""https://www.amazon.com/Whos-Who-Womens-Hockey-Guide/dp/1320358063"" target=""_blank"">Who's Who in Women's Hockey 2015</a>",https://www.amazon.com/Whos-Who-Womens-Hockey-Guide/dp/1320358063,Who's Who in Women's Hockey 2015,Richard Scott,2015,,"Women's Hockey,CWHL,NWHL/PHF,Counting Stats,Western Women's Hockey League, Central Ontario Women's Hockey League",,,
734,"<a href=""https://www.amazon.com/Past-Whos-Womens-Hockey-Guide/dp/1320806767"" target=""_blank"">Who's Who in Women's Hockey 2016</a>",https://www.amazon.com/Past-Whos-Womens-Hockey-Guide/dp/1320806767,Who's Who in Women's Hockey 2016,Richard Scott,2016,,"Women's Hockey,CWHL,NWHL/PHF,Counting Stats,Western Women's Hockey League, Central Ontario Women's Hockey League, National Women's Hockey League (old)",,,
735,"<a href=""https://www.amazon.com/Past-Whos-Womens-Hockey-2017/dp/1367303184"" target=""_blank"">Who's Who in Women's Hockey 2017</a>",https://www.amazon.com/Past-Whos-Womens-Hockey-2017/dp/1367303184,Who's Who in Women's Hockey 2017,Richard Scott,2017,,"Women's Hockey,CWHL,NWHL/PHF,Counting Stats,Western Women's Hockey League, Central Ontario Women's Hockey League, National Women's Hockey League (old)",,,
736,"<a href=""https://www.amazon.com/Whos-Who-Womens-Hockey-2018/dp/1364113309"" target=""_blank"">Who's Who in Women's Hockey 2018</a>",https://www.amazon.com/Whos-Who-Womens-Hockey-2018/dp/1364113309,Who's Who in Women's Hockey 2018,Richard Scott,2018,,"Women's Hockey,CWHL,NWHL/PHF,Counting Stats,Western Women's Hockey League, Central Ontario Women's Hockey League, National Women's Hockey League (old)",,,
737,"<a href=""https://www.amazon.com/Whos-Womens-Hockey-Guide-2019/dp/0464777860"" target=""_blank"">Who's Who in Women's Hockey 2019</a>",https://www.amazon.com/Whos-Womens-Hockey-Guide-2019/dp/0464777860,Who's Who in Women's Hockey 2019,Richard Scott,2019,,"Women's Hockey,CWHL,NWHL/PHF,Counting Stats,Western Women's Hockey League, Central Ontario Women's Hockey League, National Women's Hockey League (old)",,,
738,"<a href=""https://www.amazon.com/Whos-Who-Womens-Hockey-2020/dp/1714175782/ref=sr_1_1?dchild=1&keywords=Who%27s+Who+in+Women%27s+Hockey+2020&qid=1635026062&s=books&sr=1-1"" target=""_blank"">Who's Who in Women's Hockey 2020</a>",https://www.amazon.com/Whos-Who-Womens-Hockey-2020/dp/1714175782/ref=sr_1_1?dchild=1&keywords=Who%27s+Who+in+Women%27s+Hockey+2020&qid=1635026062&s=books&sr=1-1,Who's Who in Women's Hockey 2020,Richard Scott,2020,,"Women's Hockey,CWHL,NWHL/PHF,Counting Stats,Western Women's Hockey League, Central Ontario Women's Hockey League, National Women's Hockey League (old)",,,
739,"<a href=""https://www.amazon.com/Whos-Womens-Hockey-Guide-2021/dp/171581987X"" target=""_blank"">Who's Who in Women's Hockey 2021</a>",https://www.amazon.com/Whos-Womens-Hockey-Guide-2021/dp/171581987X,Who's Who in Women's Hockey 2021,Richard Scott,2021,,"Women's Hockey,CWHL,NWHL/PHF,Counting Stats,PWHPA,Western Women's Hockey League, Central Ontario Women's Hockey League, National Women's Hockey League (old)",,,
740,"<a href=""https://github.com/Echeney17/BigDataCup2021/"" target=""_blank"">Projecting Win Probability in Women’s Hockey</a>",https://github.com/Echeney17/BigDataCup2021/,Projecting Win Probability in Women’s Hockey,,,,"Women's Hockey, Win Probability,Expected Goals / xG, Pre-Shot Movement,Big Data Cup",,,
741,"<a href=""https://public.tableau.com/app/profile/wild.about.whitecaps/viz/PenaltyOverview/Beauts"" target=""_blank"">2019 NWHL Penalty Overview</a>",https://public.tableau.com/app/profile/wild.about.whitecaps/viz/PenaltyOverview/Beauts,2019 NWHL Penalty Overview,Daniel Weber,2019,,"NWHL/PHF,Penalties,Women's Hockey,",,,
742,"<a href=""https://www.theicegarden.com/2021/7/27/22592346/a-whkyhac-project-directory-womens-hockey-analytics-conference""> A Whykyhac Project Directory </a>",https://www.theicegarden.com/2021/7/27/22592346/a-whkyhac-project-directory-womens-hockey-analytics-conference,A Whykyhac Project Directory,,,,"NWHL/PHF,Expected Goals / xG,",,,
743,"<a href=""https://maximedotellier.weebly.com/data-cup-submission-2021.html"" target=""_blank"">Net Front Presents: A Guide to Getting the Most of Your Trip to the Crease</a>",https://maximedotellier.weebly.com/data-cup-submission-2021.html,Net Front Presents: A Guide to Getting the Most of Your Trip to the Crease,"Gianni Ginocchi, Maxime Tellier, Zack Townson",2021,,"Women's Hockey,Passing,Pre-Shot Movement,",,,
744,"<a href=""https://github.com/TheAthleticEthan/BigDataCup2021/blob/main/VICE_BDC2021.pdf"" target=""_blank"">Valuing Individual Contributing Events (V-ICE) in Hockey</a>",https://github.com/TheAthleticEthan/BigDataCup2021/blob/main/VICE_BDC2021.pdf,Valuing Individual Contributing Events (V-ICE) in Hockey,"Ethan Douglas, Sean Clement, Nick Wan, Ian Greengross",2021,,"Womens's Hockey, xG, Pre-Shot Movement, NHWL/PHF, NCAA, Olympics,Big Data Cup",,,
745,"<a href=""https://hockey-graphs.com/2016/04/29/practical-concerns-the-blind-side-intangibles-and-my-off-season-plan-at-mcgill/#more-8663"" target=""_blank"">Practical Concerns: “The Blind Side”, Intangibles and My Off-Season Plan At McGill</a>",https://hockey-graphs.com/2016/04/29/practical-concerns-the-blind-side-intangibles-and-my-off-season-plan-at-mcgill/#more-8663,"Practical Concerns: “The Blind Side”, Intangibles and My Off-Season Plan At McGill",Jack Han,2016,,"Women's Hockey,NCAA,Coaching,Scouting,",,,
746,"<a href=""https://bullyballpit.com/2021/03/hot-routes/"" target=""_blank"">Hot Routes: An analysis of powerplay entry paths</a>",https://bullyballpit.com/2021/03/hot-routes/,Hot Routes: An analysis of powerplay entry paths,Jacob Fahringer,2021,,"Women's Hockey, Passing, Pre-Shot Movement,Big Data Cup, Hierarchical Classification Model",,,
747,"<a href=""https://hockey-graphs.com/2019/09/21/2019-ritsac-slides-and-video/"" target=""_blank"">WHAC: Women's Hockey Aging Curves</a>",https://hockey-graphs.com/2019/09/21/2019-ritsac-slides-and-video/,WHAC: Women's Hockey Aging Curves,Carleen Markey,2019,,"Aging Curve(s),Women's Hockey,CWHL,",,,
748,"<a href=""https://hockey-graphs.com/2020/06/25/examining-player-development-in-ncaa-di-womens-hockey-with-game-score-pt-1/""> Examining Player Development in NCAA DI Women’s Hockey with Game Score Pt. 1 </a>",https://hockey-graphs.com/2020/06/25/examining-player-development-in-ncaa-di-womens-hockey-with-game-score-pt-1/,Examining Player Development in NCAA DI Women’s Hockey with Game Score Pt. 1,Mike Murphy,2020,,"NCAA,Prediction,Prospects,",,,
749,"<a href=""https://github.com/nicwispinski/BigDataCup2021/blob/main/Nicolas%20Wispinski%20Big%20Data%20Cup%20Submission.pdf"" target=""_blank"">Utilizing Decision Trees with Expected Goals to Understand High-Probability Scoring Chances in Women’s Hockey</a>",https://github.com/nicwispinski/BigDataCup2021/blob/main/Nicolas%20Wispinski%20Big%20Data%20Cup%20Submission.pdf,Utilizing Decision Trees with Expected Goals to Understand High-Probability Scoring Chances in Women’s Hockey,Nicolas Wispinski,2021,,"Women's Hockey, xG,Big Data Cup, Decision Trees",,,
750,"<a href=""https://hockey-graphs.com/2020/06/26/examining-player-development-in-ncaa-di-womens-hockey-with-game-score-pt-2/""> Examining Player Development in NCAA DI Women’s Hockey with Game Score Pt. 2 </a>",https://hockey-graphs.com/2020/06/26/examining-player-development-in-ncaa-di-womens-hockey-with-game-score-pt-2/,Examining Player Development in NCAA DI Women’s Hockey with Game Score Pt. 2,Mike Murphy,2020,,"Women's Hockey, ,",,,
751,"<a href=""https://github.com/spz19/SWHL"" target=""_blank"">SWHL</a>",https://github.com/spz19/SWHL,SWHL,CR,2021,,"Women's Hockey,Counting Stats,SWHL",,,
752,"<a href=""https://github.com/cmarkey/Player-Clustering"" target=""_blank"">Identifying Player Archetypes in Women’s Hockey</a>",https://github.com/cmarkey/Player-Clustering,Identifying Player Archetypes in Women’s Hockey,"Carleen Markey, Nayan Patel",2021,,"Player Evaluation,Women's Hockey,Player Archetypes",,,
753,"<a href=""https://docs.google.com/presentation/d/1voD14xMNFKL7IvbsiX-2a44EIouJZBy75YURinhqXjM/edit?usp=sharing"" target=""_blank"">Contextualizing Historical Data and Current Projects in Women's Hockey</a>",https://docs.google.com/presentation/d/1voD14xMNFKL7IvbsiX-2a44EIouJZBy75YURinhqXjM/edit?usp=sharing,Contextualizing Historical Data and Current Projects in Women's Hockey,Carleen Markey,2021,,"Women's Hockey,WHKYHAC, Archiving",,,
754,"<a href=""https://github.com/benbrill/Big-Data-Cup-2021"" target=""_blank"">Passing patterns, passing efficiency, and Expected Goals on the Power Play</a>",https://github.com/benbrill/Big-Data-Cup-2021,"Passing patterns, passing efficiency, and Expected Goals on the Power Play","Ben Brill,Will Mosher",2021,,"Women's Hockey, Passing, Powerplay, xG, Pre-Shot Movement,Big Data Cup",,,
755,"<a href=""https://www.iihf.com/en/events/2019/ww18/schedule"" target=""_blank"">2019 Ice Hockey U18 Women's World Championship</a>",https://www.iihf.com/en/events/2019/ww18/schedule,2019 Ice Hockey U18 Women's World Championship,IIHF,2019,,"IIHF,Play By Play,Shots / Shooting,U18, World Championships",,,
756,"<a href=""https://docs.google.com/spreadsheets/d/1SvK3zeFN_2aa6D0atrXDnTlkD5wywwRv-UyfuizmsFA/edit"" target=""_blank"">CWHL Player Stats 2007-2018</a>",https://docs.google.com/spreadsheets/d/1SvK3zeFN_2aa6D0atrXDnTlkD5wywwRv-UyfuizmsFA/edit,CWHL Player Stats 2007-2018,Richard Scott,2019,,"CWHL,Counting Stats,Women's Hockey,",,,
757,"<a href=""https://docs.google.com/spreadsheets/d/1dJePlaYY9_7VoSfNcBJfUdE-Gfa8UYv5yt-hfTSpIvY/edit#gid=470857600"" target=""_blank"">NWHL Goalie Stats History (2015-Present)</a>",https://docs.google.com/spreadsheets/d/1dJePlaYY9_7VoSfNcBJfUdE-Gfa8UYv5yt-hfTSpIvY/edit#gid=470857600,NWHL Goalie Stats History (2015-Present),Giants In The Crease,2018,,"Goalies / Goaltending, Women's Hockey, Counting Stats, NWHL,",,,
758,"<a href=""https://docs.google.com/spreadsheets/d/1i4ucG15NSTJO2O2dn27QJKGnYh6wUNikmAOAg-Lu6B0/edit#gid=0"" target=""_blank"">CWHL Player Stats 2007-2018</a>",https://docs.google.com/spreadsheets/d/1i4ucG15NSTJO2O2dn27QJKGnYh6wUNikmAOAg-Lu6B0/edit#gid=0,CWHL Player Stats 2007-2018,Richard Scott,2019,,"CWHL,Counting Stats,Women's Hockey,",,,
759,"<a href=""https://github.com/ianastalosh/big_data_cup_2021/blob/main/report.pdf"" target=""_blank"">Teamwork Makes the Dream Work - Determining Which Pass Types Create High Quality Chances in Women’s Hockey</a>",https://github.com/ianastalosh/big_data_cup_2021/blob/main/report.pdf,Teamwork Makes the Dream Work - Determining Which Pass Types Create High Quality Chances in Women’s Hockey,Ian Astalosh,2021,,"Women's Hockey, Passing, xG, Pre-Shot Movement,Big Data Cup",,,
760,"<a href=""https://docs.google.com/presentation/d/1aQxy4o4VvS5-81NMODOZfFlNpljg_Tzt6BSr0Zal_vo/edit?usp=sharing"" target=""_blank"">Shoot Your Shot: How the on-ice situation changes shot location</a>",https://docs.google.com/presentation/d/1aQxy4o4VvS5-81NMODOZfFlNpljg_Tzt6BSr0Zal_vo/edit?usp=sharing,Shoot Your Shot: How the on-ice situation changes shot location,Ben Howell and Michelle Jay,2021,,"Women's Hockey,Big Data Cup,NWHL/PHF,Scoring / Goals,Shots / Shooting,Shot Quality,Shot Distance,",,,
761,"<a href=""https://drive.google.com/file/d/17_yHhpZc_NDxghOrm30ZuKagUxqkkNwQ/view"" target=""_blank"">WHKYe Numbers</a>",https://drive.google.com/file/d/17_yHhpZc_NDxghOrm30ZuKagUxqkkNwQ/view,WHKYe Numbers,Mikael Nahabedian,2021,,"Advanced Stats,NHLe,Women's Hockey,Player Evaluation,Translation Factors",,,
762,"<a href=""[https://www.theicegarden.com/2021/8/27/22643790/2021-iihf-womens-world-championship-quarterfinal-preview-switzerland-russia-roc-stalder]"" target=""_blank"">[2021 Worlds Quarterfinal Preview: Switzerland vs Russia]</a>",https://www.theicegarden.com/2021/8/27/22643790/2021-iihf-womens-world-championship-quarterfinal-preview-switzerland-russia-roc-stalder,[2021 Worlds Quarterfinal Preview: Switzerland vs Russia],Mike Murphy,2021,,"International Hockey, World Championships, xG, Player Analysis,",,,
763,"<a href=""https://twitter.com/hockeyelo/status/1405179794493526025?s=20"" target=""_blank"">NWHL ELO Ratings Part 1</a>",https://twitter.com/hockeyelo/status/1405179794493526025?s=20,NWHL ELO Ratings Part 1,@hockeyelo,2021,,"NWHL/PHF,Women's Hockey,Prediction,Quality of Competition,",,,
764,"<a href=""https://twitter.com/hockeyelo/status/1404875899141607426?s=20"" target=""_blank"">NWHL ELO Ratings Part 2</a>",https://twitter.com/hockeyelo/status/1404875899141607426?s=20,NWHL ELO Ratings Part 2,@hockeyelo,2021,,"NWHL/PHF,Women's Hockey,Prediction,Quality of Competition,",,,
765,"<a href=""https://github.com/nguyenank/women-usa-hockey-registration"" target=""_blank"">Women's USA Hockey Registration</a>",https://github.com/nguyenank/women-usa-hockey-registration,Women's USA Hockey Registration,An Nguyen,2021,,"Women's Hockey,Player Registration, USA Hockey",,,
766,"<a href=""https://github.com/nguyenank/shot-plotter"" target=""_blank"">Shot Plotter</a>",https://github.com/nguyenank/shot-plotter,Shot Plotter,An Nguyen,2021,,"Shots / Shooting,Tracking",,,
767,"<a href=""https://theirhockeycounts.com/International.html"" target=""_blank"">Worlds Goalie Stats - career</a>",https://theirhockeycounts.com/International.html,Worlds Goalie Stats - career,Mike Murphy,,,"Women's Hockey,IIHF,Counting Stats,",,,
768,"<a href=""https://docs.google.com/spreadsheets/d/1oEyfF10RuB4HTSxpNmq0gwrVSDNo7Ezz5QuU4Fve9nw/edit#gid=0"" target=""_blank"">Worlds Goalie Stats - career</a>",https://docs.google.com/spreadsheets/d/1oEyfF10RuB4HTSxpNmq0gwrVSDNo7Ezz5QuU4Fve9nw/edit#gid=0,Worlds Goalie Stats - career,Mike Murphy,1990-2019,,"Women's Hockey,IIHF,Goalies / Goaltending,Counting Stats,",,,
